label,area,bbox_area,centroid-0,centroid-1,centroid-2,equivalent_diameter_area,extent,mean_intensity,max_intensity,min_intensity,volume,compactness,timepoint,subfolder
15,16.0,40.0,7.25,420.0625,364.75,3.126370567187088,0.4,0.4334900975227356,0.8606029152870178,0.1381087303161621,16.0,2.4999998437500097,1,01
16,28.0,50.0,7.0,446.25,43.32142857142857,3.767498918725543,0.56,0.698604941368103,1.0,0.2921927273273468,28.0,1.7857142219387778,1,01
17,102.0,462.0,9.0,334.04901960784315,3.019607843137255,5.796962840557109,0.22077922077922077,0.8197150230407715,1.0,0.13604740798473358,102.0,4.529411720299885,1,01
18,571.0,1380.0,9.15061295971979,469.2889667250438,46.20840630472855,10.29309138646788,0.413768115942029,0.7711915969848633,1.0,0.017005925998091698,571.0,2.4168126052244965,1,01
19,1098.0,2960.0,10.377959927140255,249.18670309653916,308.56921675774134,12.79974269131765,0.37094594594594593,0.5195251107215881,1.0,0.012367946095764637,1098.0,2.6958105622078223,1,01
20,510.0,1125.0,11.449019607843137,251.48823529411766,42.09411764705882,9.912667021131277,0.4533333333333333,0.3895741403102875,1.0,0.006699304096400738,510.0,2.205882348615917,1,01
21,729.0,1872.0,12.008230452674898,194.06310013717422,47.49519890260631,11.166308836189199,0.3894230769230769,0.6316658854484558,1.0,0.019582582637667656,729.0,2.567901231045403,1,01
22,324.0,770.0,12.364197530864198,209.65432098765433,40.9537037037037,8.52148850768993,0.42077922077922075,0.6196252107620239,1.0,0.015459933318197727,324.0,2.376543202541533,1,01
23,675.0,1092.0,14.084444444444445,411.3925925925926,456.65777777777777,10.883495035793427,0.6181318681318682,0.6448414325714111,1.0,0.024735892191529274,675.0,1.61777777538107,1,01
24,1042.0,1995.0,16.284069097888676,377.84165067178503,388.39635316698656,12.578331381535895,0.5223057644110276,0.6086463332176208,1.0,0.011852615512907505,1042.0,1.9145873302163268,1,01
25,300.0,700.0,15.45,389.15,14.613333333333333,8.305661184154147,0.42857142857142855,0.4599476158618927,1.0,0.01494460180401802,300.0,2.3333333255555555,1,01
26,393.0,1440.0,15.582697201017812,481.8498727735369,410.40458015267177,9.087923083466553,0.27291666666666664,0.43454933166503906,1.0,0.012367946095764637,393.0,3.664122128081114,1,01
27,692.0,1632.0,18.13294797687861,440.3901734104046,168.21242774566474,10.974106166962038,0.42401960784313725,0.800327479839325,1.0,0.02988920360803604,692.0,2.3583814994821077,1,01
28,134.0,273.0,17.432835820895523,505.9029850746269,407.1194029850746,6.3489522192239995,0.4908424908424908,0.41622981429100037,1.0,0.021128574386239052,134.0,2.0373134176319896,1,01
29,557.0,1386.0,20.080789946140037,188.05745062836624,395.4847396768402,10.208271003875293,0.4018759018759019,0.7294483780860901,1.0,0.011852615512907505,557.0,2.4883303366457263,1,01
30,310.0,1312.0,20.712903225806453,171.48709677419356,186.26451612903224,8.396939494944725,0.23628048780487804,0.23261547088623047,1.0,0.013913939706981182,310.0,4.232258050863684,1,01
31,741.0,2470.0,21.176788124156545,173.4655870445344,321.39001349527666,11.227244879426083,0.3,0.369710773229599,1.0,0.007729966659098864,741.0,3.333333328834908,1,01
32,807.0,1720.0,20.970260223048328,173.76951672862452,366.0532837670384,11.551143278449063,0.46918604651162793,0.40292251110076904,1.0,0.01030662190169096,807.0,2.131350678895476,1,01
33,749.0,2990.0,21.229639519359147,236.369826435247,340.8544726301736,11.267504282206207,0.25050167224080266,0.4582807123661041,1.0,0.01030662190169096,749.0,3.991989313762364,1,01
34,892.0,3240.0,21.473094170403588,206.85089686098655,313.66367713004485,11.943237739325289,0.27530864197530863,0.39485135674476624,1.0,0.008760628290474415,892.0,3.6322869914436247,1,01
35,524.0,1764.0,22.27480916030534,375.6564885496183,325.7671755725191,10.002553621718896,0.29705215419501135,0.3306802809238434,1.0,0.009791291318833828,524.0,3.3664122073160074,1,01
36,153.0,480.0,21.784313725490197,506.62745098039215,89.81045751633987,6.635865927138142,0.31875,0.7744247317314148,1.0,0.12058747559785843,153.0,3.1372548814558505,1,01
1,970.0,3840.0,7.789690721649484,247.11546391752577,12.163917525773195,12.28167791759357,0.2526041666666667,0.5236036777496338,1.0,0.0077339522540569305,970.0,3.9587628825167394,2,01
2,680.0,4320.0,7.733823529411764,358.99264705882354,293.875,10.910301782097497,0.1574074074074074,0.49236464500427246,1.0,0.0087651452049613,680.0,6.352941167128027,2,01
3,1108.0,3420.0,7.7111913357400725,397.8745487364621,128.42509025270758,12.838483068866855,0.32397660818713453,0.533097505569458,1.0,0.0072183553129434586,1108.0,3.0866425964921995,2,01
4,773.0,3200.0,7.315653298835705,410.3777490297542,362.40879689521347,11.3865884451253,0.2415625,0.49703601002693176,1.0,0.0087651452049613,773.0,4.139715389211235,2,01
5,2118.0,5488.0,8.457979225684609,427.4697828139754,463.0491029272899,15.933423925489826,0.385932944606414,0.6820192933082581,1.0,0.01237432286143303,2118.0,2.591123700381906,2,01
6,714.0,2048.0,7.582633053221288,426.2408963585434,84.35574229691876,11.089190983074499,0.3486328125,0.5196789503097534,1.0,0.009280742146074772,714.0,2.868347334918281,2,01
7,901.0,3280.0,7.539400665926748,439.06992230854604,71.23529411764706,11.983271237818778,0.27469512195121953,0.507384181022644,1.0,0.0072183553129434586,901.0,3.640399552008436,2,01
