dataset,sample,timepoint,mean_radius,median_radius,max_radius,min_radius,sd_radius,p25_radius,p75_radius,p90_radius,p95_radius,n_leader_cells,mean_leader_radius,radius_skewness,radius_kurtosis,dispersion_index,mean_nn_dist,median_nn_dist,sd_nn_dist,mean_volume,sd_volume,mean_compactness,sd_compactness,mean_extent,sd_extent,cell_count,invasion_volume,cell_density
test,2,0,169.82385296122771,168.10041689496234,294.6494477878212,68.06241774222867,59.304059904985884,120.31949316192512,205.60008009207277,244.90006454607513,277.5896385220822,4.0,274.23198217577226,0.2751922926692721,-0.7491026560222096,1.7350298126558952,29.98613632852718,22.76985600052124,18.4427146134815,695.125,531.7292392477282,3.5105317746623967,1.8297517247088935,0.3478590853626563,0.13909877769888765,32.0,107153288.47068709,2.9863759159154444e-07
test,2,1,164.0398195123148,165.54148172995193,307.43358785190594,74.49307291077871,59.29529308827024,119.42165516736357,191.6688802811533,236.25809154116348,269.833139520082,4.0,273.2062026133669,0.44065541662165825,-0.3556229536702973,1.874140003115684,31.495808429013856,25.902874679375472,19.16711983615688,635.3714285714286,440.84011278695687,3.7790463920597817,2.2896023693955376,0.3516678883476429,0.16925106554177816,35.0,121714564.55339833,2.875580266702173e-07
test,2,2,166.64917068819423,170.32831436611116,297.69846784305986,68.59382719182987,59.28697207807101,118.96945859616525,198.90134478438998,236.37608898131825,268.54009721404816,3.0,277.68636056486025,0.21941314104965237,-0.6197282545471721,1.7863783336795773,33.99674518438187,31.20725725643876,21.301077236710114,770.1,448.35841189526195,3.417652492625345,2.0762440183177207,0.36914230954970645,0.15525455600467084,30.0,110514282.32550924,2.7145812621429214e-07
test,2,3,166.9623232320053,165.25829180789736,314.1954987451187,63.98795987942364,62.96656477187579,112.27978918935041,208.0607307029848,245.09239239088345,278.15988678679935,4.0,286.0556396890456,0.32423184706154556,-0.6091005516360313,1.8818347317108366,33.00688403222062,24.424928363197605,31.836547540457115,663.2368421052631,462.7041220390417,3.2666433692810526,1.9013472072224187,0.3806131755482946,0.15896224959741218,38.0,129923731.7243206,2.924792837741954e-07
test,2,4,165.07082240234732,168.23059281194216,302.70038902301457,79.07701536827659,59.58803871469892,110.15757050263579,197.90202311138586,238.79183619509527,278.4349965855472,4.0,283.55485747297547,0.4420751489198731,-0.5003611636540222,1.8337607132362004,25.03145626750026,19.555480151722126,13.065269339421313,654.7435897435897,484.7469615522546,3.447304996286937,1.3518711806973855,0.33359143731398183,0.1265939032710652,39.0,116178976.61943467,3.356889614181366e-07
test,2,5,161.0768923959354,156.82578863510017,322.1765627427493,58.29205016486804,61.493550442290534,116.3142651594941,182.3857637516729,241.67266195154625,282.4049779122652,5.0,281.53727980564025,0.6625775785605358,-0.03534957204158884,2.0001414104192086,25.279981598859546,21.963297893493277,13.870939309350936,596.4545454545455,449.28234529392745,3.5072444300586723,2.101968174232138,0.36689351704231615,0.157737798657383,44.0,140078163.934984,3.1411034214027964e-07
test,2,6,154.29380342031274,155.4452822357586,321.2750452342386,66.63343790868407,61.40439146069238,105.77713256317948,176.69620184973138,247.31491165565066,272.5452118720267,5.0,278.8140890597573,0.7034882235211216,-0.0903442556490548,2.082229085759531,23.668350977474148,21.645126923908162,13.91912733942174,529.1632653061224,441.3673048483719,3.321278487098531,1.498627776951479,0.36161440431855685,0.15315019366389468,49.0,138905547.1578569,3.527576904060913e-07
test,2,7,158.64910569019304,150.09203190221328,331.0992270861694,63.6003146372729,65.21733321455955,109.94489311259038,206.94748906492904,230.85864821009474,280.2393061754371,5.0,286.63637521446327,0.719317741227476,-0.0043385285496908566,2.0869908194297273,23.54679309949267,18.17823588177673,11.666702291475218,547.2666666666667,447.23699229013613,3.1972213068326387,2.0617043273378166,0.39493746069548863,0.16168668825312396,45.0,152041837.6762784,2.9597116614580954e-07
test,2,8,160.37639601122385,150.16963646212645,343.9412223211531,74.26770844393246,62.751365959834466,115.34923535221137,194.8897716940617,225.69973017557834,284.5098398979996,5.0,294.9760039261573,1.0742209007286907,1.0754064755538462,2.144587550758296,21.838237437279947,17.354651091220482,13.022968151455247,574.1739130434783,401.06759221678584,3.9064661228397513,2.8970177214388677,0.34328800385759506,0.15997918507490297,46.0,170428138.46907303,2.699084811534655e-07
test,2,9,165.21906257217577,157.25861336115048,335.34173988633484,67.0545947625002,60.427483854386445,123.45330345149421,197.9325729056741,243.05179663756573,284.47253588869296,5.0,289.35286811654504,0.6828999641049717,0.23696927968529158,2.0296794732135774,27.39547044076076,19.308706153703106,20.901107802450543,545.5869565217391,371.0092886580219,3.782655536625939,1.926827449735475,0.32872945880121807,0.14833919090461223,46.0,157961572.76518068,2.9121006580747174e-07
